rp1wl,rp1hs,rp10wl,rp10hs,rp100wl,rp100hs,rp2wl,rp2hs,rp20wl,rp20hs,rp5wl,rp5hs,rp50wl,rp50hs,rp200,rp200
5.672201,0,6.155011,0,6.686525,0,5.806394,0,6.312529,0,6.012056,0,6.482598,0,0,5.9
5.672201,0.143771,6.155011,0.143771,6.686525,0.319253,5.806394,0.143771,6.312529,0.143771,6.012056,0.143771,6.482598,0.143771,0.209839,5.883943
5.667421697,0.305300755,6.134625052,0.326104447,6.709955836,0.522667875,5.797615579,0.31167919,6.287885932,0.332040407,5.988923896,0.319295957,6.45384849,0.341312517,0.419678,5.867886
5.65855926,0.466631415,6.131077923,0.509586552,6.72210486,0.726998816,5.789664085,0.479823047,6.262498072,0.520241497,5.981443685,0.496300259,6.430884797,0.539606196,0.629516,5.85183
5.640918786,0.62722641,6.116010608,0.692357301,6.698856027,0.93041881,5.771469037,0.647305657,6.263039721,0.708368398,5.955602683,0.671135153,6.436209762,0.739118726,0.839355,5.835773
5.621872639,0.787666563,6.072828475,0.869898433,6.662740259,1.131969651,5.742460196,0.813242257,6.222105972,0.893128869,5.922331052,0.844561439,6.405379712,0.936211468,1.049194,5.819716
5.590477036,0.946050271,6.034071698,1.0492406,6.628083058,1.333599304,5.71223949,0.978927539,6.186555209,1.079278579,5.888420958,1.018469705,6.377514768,1.133814002,1.259033,5.803659
5.556216135,1.103977468,5.996558782,1.228759268,6.565645902,1.528541154,5.672966445,1.142544235,6.148015848,1.264713128,5.849350706,1.191114998,6.354070244,1.332050151,1.468871,5.787602
5.524926282,1.262509426,5.949438834,1.405838186,6.505411706,1.721867856,5.637858158,1.307240005,6.106203123,1.449920703,5.818153146,1.365482022,6.335349964,1.530315011,1.67871,5.771545
5.481060592,1.417351461,5.891040608,1.579869846,6.390494237,1.891301541,5.594365025,1.46995217,6.040965146,1.628274958,5.761968426,1.533393054,6.278157889,1.720223376,1.888549,5.755489
5.434984451,1.572138223,5.842387314,1.756781903,6.287847255,2.06799663,5.55157792,1.632899297,5.969890812,1.803728848,5.715198017,1.704265281,6.186879792,1.89763253,2.098388,5.739432
5.387842851,1.726648831,5.781228195,1.929789042,6.20155777,2.253442134,5.512198598,1.79669834,5.902737932,1.98079808,5.652169661,1.869599074,6.121160195,2.083113264,2.308226,5.723375
5.338984553,1.880670305,5.735034787,2.107173482,6.093073868,2.42650199,5.447896531,1.952289575,5.850383305,2.163336281,5.602987223,2.039687876,6.03089233,2.25926517,2.518065,5.707318
5.290053087,2.034426165,5.66834978,2.277948284,5.980076763,2.594598086,5.398455828,2.113322139,5.785620972,2.341664675,5.550846176,2.209019448,5.908260895,2.416323081,2.72789,5.69108
5.237242828,2.187127767,5.59965032,2.448126003,5.914368596,2.788379194,5.342711211,2.272301293,5.72516416,2.521235598,5.491407014,2.375526682,5.829631568,2.599166372,2.937776,5.675933
5.173899725,2.335085995,5.533806928,2.619437056,5.860728126,2.985986382,5.284449739,2.430182719,5.649528413,2.694457773,5.42522764,2.539524768,5.779626711,2.789899572,3.147938,5.664994
5.109401724,2.483191046,5.479733191,2.793525215,5.805679822,3.183146974,5.22886303,2.589150347,5.58295188,2.871835475,5.362514491,2.705006215,5.726790408,2.982243542,3.357843,5.650029
5.033731144,2.625954896,5.393784083,2.955425451,5.75196612,3.380415974,5.156116257,2.740758117,5.515903998,3.04824845,5.30516881,2.872479564,5.663430824,3.169626157,3.566638,5.625247
4.948013701,2.762495602,5.343920044,3.131982132,5.695680463,3.575854415,5.074184114,2.887888043,5.44440002,3.220320471,5.235271559,3.034792412,5.56688054,3.343652936,3.773634,5.587267
4.853962961,2.893800853,5.278755121,3.301660815,5.595608211,3.753420775,4.998280381,3.037883679,5.357454529,3.388512028,5.173729868,3.200236353,5.482456776,3.523769002,3.979351,5.543738
4.754688576,3.020871715,5.203215835,3.467581174,5.493748309,3.929422206,4.905318386,3.178356104,5.285391066,3.563471084,5.076082988,3.34735453,5.387168369,3.69808098,4.182547,5.488957
