date,waterlevel,waveheight,rpwl,rphs,rpjp
2008-03-12 01:45:00,5.30,5.06,0,15,1000
2013-12-05 12:30:00,6.22,4.55,13,4,1000
2004-02-08 00:30:00,4.72,5.43,0,38,250
2005-01-08 08:30:00,5.04,4.55,0,4,111
2007-01-18 11:00:00,4.78,4.89,0,11,111
2013-11-02 22:00:00,5.20,4.39,0,3,71
2015-11-29 13:30:00,5.32,4.09,0,1,66
2006-10-06 22:15:00,5.50,3.40,0,0,40
2014-10-21 09:15:00,4.45,4.72,0,7,32
2014-01-03 12:00:00,5.86,2.32,2,0,27
2010-11-12 02:45:00,4.04,4.89,0,11,25
2005-02-12 13:30:00,5.23,3.80,0,0,23
2007-03-18 10:30:00,4.98,4.09,0,1,19
2005-01-12 12:15:00,5.19,3.80,0,0,19
2005-01-11 23:45:00,5.47,3.16,0,0,18
2014-08-10 22:45:00,5.45,3.16,0,0,16
2008-03-12 14:00:00,4.78,4.24,0,2,16
2012-01-03 18:15:00,2.70,5.06,0,15,16
2010-03-31 11:30:00,5.14,3.80,0,0,16
2012-10-16 11:00:00,5.43,3.16,0,0,16
2011-12-08 21:45:00,4.25,4.55,0,4,14
2008-03-20 22:45:00,4.52,4.39,0,3,14
2005-02-13 14:00:00,4.50,4.39,0,3,13
2015-01-07 11:45:00,5.80,2.14,1,0,12
2014-02-01 11:45:00,5.66,2.41,0,0,11
2011-11-29 13:45:00,5.38,3.04,0,0,10
2006-12-03 21:30:00,5.07,3.67,0,0,9
2014-02-12 21:45:00,4.29,4.39,0,3,9
2004-12-16 14:00:00,4.81,3.94,0,0,8
2011-12-28 13:15:00,4.94,3.80,0,0,8
2006-03-30 11:30:00,5.75,1.97,1,0,8
2005-02-13 02:00:00,4.67,4.09,0,1,8
2008-03-01 04:00:00,2.78,4.72,0,7,8
2014-10-21 21:45:00,3.71,4.55,0,4,7
2005-01-18 17:15:00,3.69,4.55,0,4,7
2005-03-11 11:45:00,5.45,2.71,0,0,7
2004-02-08 12:30:00,4.12,4.39,0,3,7
2010-11-11 14:15:00,4.56,4.09,0,1,6
2003-12-20 20:30:00,4.01,4.39,0,3,6
2008-03-21 10:45:00,4.53,4.09,0,1,6
2014-12-10 01:00:00,4.57,3.94,0,0,4
2014-12-11 01:45:00,4.40,4.09,0,1,4
2016-03-02 16:45:00,2.43,4.55,0,4,4
2014-02-02 00:15:00,5.36,2.71,0,0,4
2014-12-24 12:30:00,5.36,2.71,0,0,4
2011-12-07 08:45:00,3.98,4.24,0,2,3
2006-10-07 23:00:00,5.60,1.89,0,0,3
2004-03-20 11:00:00,4.86,3.53,0,0,3
2007-11-08 22:30:00,3.92,4.24,0,2,3
2014-02-02 12:45:00,5.53,2.14,0,0,3
2005-01-01 15:30:00,3.85,4.24,0,2,3
2002-12-02 09:00:00,4.39,3.94,0,0,3
2013-11-05 11:45:00,5.30,2.71,0,0,3
2016-11-16 11:45:00,5.40,2.42,0,0,3
2008-01-31 17:00:00,2.80,4.39,0,3,3
2007-01-11 04:15:00,3.77,4.24,0,2,3
2007-12-29 14:45:00,4.68,3.67,0,0,3
2015-01-10 14:00:00,4.36,3.94,0,0,3
2011-12-29 14:15:00,4.54,3.80,0,0,3
2016-01-26 12:30:00,5.28,2.71,0,0,3
2005-03-12 12:15:00,5.28,2.71,0,0,3
2007-01-02 10:00:00,4.27,3.94,0,0,2
2014-12-10 13:15:00,4.46,3.80,0,0,2
2007-07-06 02:45:00,4.59,3.67,0,0,2
2008-01-07 10:15:00,3.90,4.09,0,1,2
2015-02-21 12:30:00,5.47,2.05,0,0,2
2014-12-23 11:45:00,5.27,2.61,0,0,2
2004-12-17 15:30:00,4.38,3.80,0,0,2
2013-11-20 12:30:00,4.33,3.80,0,0,2
2014-01-04 00:30:00,5.26,2.61,0,0,2
2014-08-11 23:30:00,5.46,1.97,0,0,2
2012-12-14 23:45:00,5.43,2.05,0,0,2
2007-01-11 15:45:00,3.60,4.09,0,1,2
2016-03-03 05:15:00,1.86,4.24,0,2,2
2011-12-13 12:45:00,4.57,3.53,0,0,1
2011-10-06 19:00:00,3.44,4.09,0,1,1
2015-01-28 17:30:00,3.42,4.09,0,1,1
2016-10-17 23:45:00,5.39,2.10,0,0,1
2016-11-17 12:45:00,5.33,2.28,0,0,1
2008-01-21 22:15:00,4.16,3.80,0,0,1
2012-04-10 01:00:00,5.30,2.32,0,0,1
2008-11-11 09:00:00,4.32,3.67,0,0,1
2008-03-10 12:45:00,5.63,1.21,0,0,1
2012-01-03 06:30:00,3.08,4.09,0,1,1
2015-01-02 09:00:00,4.09,3.80,0,0,1
2014-08-13 00:15:00,5.52,1.66,0,0,1
2006-10-08 23:45:00,5.62,1.21,0,0,1
2014-01-06 14:30:00,5.36,2.14,0,0,1
2012-01-03 08:00:00,2.94,4.09,0,1,1
2004-03-20 23:15:00,4.42,3.53,0,0,1
2014-02-03 13:30:00,5.57,1.39,0,0,1
2015-11-30 01:30:00,4.00,3.80,0,0,1
2013-11-21 00:45:00,3.49,3.94,0,0,1
2012-09-17 23:45:00,5.30,2.23,0,0,1
2005-11-24 16:30:00,2.48,4.09,0,1,1
2008-02-01 06:00:00,2.44,4.09,0,1,1
2009-03-09 09:45:00,4.33,3.53,0,0,1
2007-11-08 10:00:00,4.11,3.67,0,0,1
2013-12-27 05:45:00,3.79,3.80,0,0,1
2005-01-02 03:00:00,3.17,3.94,0,0,1
